away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result
Los Angeles Chargers,sdg,Kansas City Chiefs,kan,2,0.0,-15.0,-4.0,0.0,-81.0,-5.0,-4.0,-2.0,-81.0,2.0,-2.0,4.0,-1.0,-52.0,-130.0,0.0,-133.0,-1.0,-4.0,0.0,-1.0,-0.19642857142857145,0.0
New York Jets,nyj,Cleveland Browns,cle,2,-1.0,1.0,1.0,1.0,159.0,25.0,19.0,0.0,162.0,-3.0,0.0,-22.0,-1.0,-134.0,-356.0,2.0,25.0,2.0,10.0,3.0,0.25,-0.30158730158730157,1.0
Washington Commanders,was,Detroit Lions,det,2,1.0,3.0,0.0,1.0,100.0,4.0,6.0,2.0,98.0,-1.0,-16.0,0.0,-3.0,-96.0,307.0,0.0,4.0,2.0,-2.0,-2.0,,0.05714285714285705,0.0
Indianapolis Colts,clt,Jacksonville Jaguars,jax,2,,9.0,4.0,0.0,80.0,8.0,8.0,0.0,77.0,-6.0,-8.0,20.0,0.0,54.0,790.0,0.0,134.0,1.0,-1.0,-3.0,0.0,0.15000000000000002,0.0
Tampa Bay Buccaneers,tam,New Orleans Saints,nor,2,0.0,0.0,-1.0,1.0,-39.0,-7.0,-5.0,-1.0,-57.0,-3.0,-23.0,14.0,-1.0,1.0,386.0,-2.0,-38.0,0.0,-74.0,-18.0,,0.04945054945054944,1.0
Carolina Panthers,car,New York Giants,nyg,2,-1.0,-4.0,3.0,0.0,51.0,6.0,-1.0,-1.0,47.0,0.0,6.0,-13.0,1.0,-184.0,-440.0,-1.0,-133.0,-1.0,51.0,-4.0,,0.16363636363636364,0.0
New England Patriots,nwe,Pittsburgh Steelers,pit,2,-1.0,4.0,1.0,1.0,1.0,-8.0,0.0,0.0,19.0,-5.0,0.0,0.0,0.0,3.0,72.0,1.0,4.0,3.0,-44.0,18.0,,0.17777777777777776,1.0
Miami Dolphins,mia,Baltimore Ravens,rav,2,0.0,5.0,1.0,-1.0,31.0,3.0,6.0,-2.0,57.0,-1.0,-2.0,2.0,0.0,2.0,300.0,1.0,33.0,-1.0,-9.0,26.0,,0.04395604395604391,1.0
Atlanta Falcons,atl,Los Angeles Rams,ram,2,0.0,7.0,2.0,-3.0,24.0,-8.0,-9.0,-1.0,-25.0,4.0,-4.0,20.0,2.0,149.0,298.0,-7.0,173.0,-1.0,25.0,-49.0,,-0.07692307692307693,0.0
Seattle Seahawks,sea,San Francisco 49ers,sfo,2,1.0,2.0,1.0,-1.0,22.0,0.0,10.0,2.0,31.0,-7.0,-3.0,-18.0,-1.0,-100.0,-427.0,0.0,-78.0,-1.0,-22.0,9.0,0.0,0.07486631016042777,0.0
Cincinnati Bengals,cin,Dallas Cowboys,dal,2,0.0,20.0,2.0,3.0,126.0,11.0,12.0,2.0,140.0,-6.0,4.0,16.0,0.0,62.0,984.0,3.0,188.0,4.0,-46.0,14.0,-0.06666666666666671,0.3,0.0
Houston Texans,htx,Denver Broncos,den,2,,0.0,-1.0,0.0,-108.0,-5.0,-6.0,1.0,-100.0,-6.0,3.0,8.0,0.0,-26.0,-196.0,1.0,-134.0,-1.0,-66.0,8.0,,-0.2,0.0
Arizona Cardinals,crd,Las Vegas Raiders,rai,2,0.0,0.0,0.0,-3.0,-77.0,1.0,2.0,0.0,-90.0,2.0,20.0,9.0,1.0,39.0,-130.0,-3.0,-38.0,-3.0,38.0,-13.0,0.25,-0.20454545454545453,1.0
Chicago Bears,chi,Green Bay Packers,gnb,2,1.0,-6.0,-1.0,0.0,-122.0,-22.0,-18.0,2.0,-139.0,1.0,-13.0,19.0,0.0,-12.0,-125.0,-2.0,-134.0,-1.0,14.0,-17.0,,0.023809523809523836,0.0
Tennessee Titans,oti,Buffalo Bills,buf,2,-1.0,-4.0,0.0,-2.0,-26.0,2.0,-6.0,-1.0,-31.0,2.0,11.0,1.0,-1.0,-28.0,-8.0,-1.0,-54.0,-3.0,15.0,-5.0,,-0.6272727272727273,0.0
Minnesota Vikings,min,Philadelphia Eagles,phi,2,0.0,-8.0,0.0,0.0,30.0,0.0,5.0,2.0,34.0,-7.0,-28.0,-11.0,-4.0,-90.0,-11.0,0.0,-60.0,0.0,-41.0,4.0,0.33333333333333337,-0.28054298642533937,0.0
Pittsburgh Steelers,pit,Cleveland Browns,cle,3,0.06269592476489022,-11.739811912225704,0.5172413793103448,-0.06269592476489033,-7.11285266457682,5.347962382445139,0.9310344827586192,0.0,-7.231974921630098,-1.2037617554858935,-8.984326018808776,-15.96551724137931,-2.0344827586206895,-117.65830721003137,-532.8589341692789,0.9090909090909092,-124.7711598746082,0.3918495297805642,-12.658307210031346,-0.11912225705329149,,-0.1491582491582492,0.0
