away_name,away_abbr,home_name,home_abbr,week,Unnamed: 0_x,Unnamed: 0_y,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result,year
Minnesota Vikings,min,Philadelphia Eagles,phi,2,120.66666666666667,206.0,-1.0,1.0,1.0,1.0,174.0,11.0,11.0,1.0,174.0,1.0,0.0,-8.0,0.0,-56.0,-87.0,-1.0,118.0,2.0,-4.0,0.0,,0.12087912087912084,0.0,2023
Green Bay Packers,gnb,Atlanta Falcons,atl,2,178.0,93.66666666666667,0.0,2.0,1.0,0.0,146.0,9.0,0.0,2.0,130.0,3.0,10.0,6.0,-1.0,-38.0,238.0,-3.0,108.0,0.0,47.0,-16.0,,0.3625,0.0,2023
Las Vegas Raiders,rai,Buffalo Bills,buf,2,191.66666666666666,270.0,1.0,3.0,-1.0,-2.0,-17.0,-15.0,-9.0,1.0,-36.0,5.0,-6.0,7.0,0.0,-36.0,-316.0,-5.0,-53.0,-3.0,57.0,-19.0,,0.0699300699300699,0.0,2023
Baltimore Ravens,rav,Cincinnati Bengals,cin,2,153.66666666666666,101.0,1.0,12.0,2.0,1.0,88.0,-10.0,3.0,0.0,87.0,9.0,-15.0,12.0,3.0,35.0,405.0,2.0,123.0,2.0,86.0,-1.0,,0.4,1.0,2023
Seattle Seahawks,sea,Detroit Lions,det,2,237.66666666666666,85.0,-1.0,-6.0,-2.0,0.0,-155.0,-9.0,-6.0,0.0,-141.0,3.0,10.0,-16.0,-1.0,-33.0,-721.0,1.0,-188.0,-1.0,-8.0,14.0,,-0.1111111111111111,1.0,2023
Indianapolis Colts,clt,Houston Texans,htx,2,111.0,152.66666666666666,0.0,0.0,1.0,1.0,19.0,-5.0,-4.0,1.0,-19.0,-5.0,6.0,3.0,1.0,-7.0,-162.0,-1.0,12.0,2.0,-53.0,-38.0,-0.04999999999999999,-0.22222222222222224,1.0,2023
Kansas City Chiefs,kan,Jacksonville Jaguars,jax,2,86.0,110.0,-1.0,-3.0,-3.0,0.0,-11.0,7.0,-3.0,0.0,-15.0,-1.0,0.0,-12.0,-2.0,-15.0,-375.0,-2.0,-26.0,-1.0,-20.0,-4.0,-0.3333333333333333,0.10714285714285715,1.0,2023
Los Angeles Chargers,sdg,Tennessee Titans,oti,2,222.0,130.0,0.0,14.0,0.0,-3.0,19.0,-1.0,7.0,1.0,31.0,0.0,20.0,18.0,3.0,129.0,81.0,0.0,148.0,-3.0,25.0,12.0,,0.43333333333333335,0.0,2023
Chicago Bears,chi,Tampa Bay Buccaneers,tam,2,179.0,119.66666666666667,-1.0,6.0,1.0,1.0,20.0,3.0,3.0,-1.0,43.0,4.0,21.0,-4.0,1.0,49.0,4.0,3.0,69.0,2.0,42.0,23.0,-0.5,-0.12217194570135748,0.0,2023
New York Giants,nyg,Arizona Cardinals,crd,2,254.0,165.0,0.0,1.0,2.0,2.0,-51.0,0.0,-4.0,0.0,-22.0,-3.0,20.0,3.0,0.0,12.0,292.0,4.0,-39.0,1.0,-50.0,29.0,0.6,0.0267857142857143,1.0,2023
San Francisco 49ers,sfo,Los Angeles Rams,ram,2,141.0,236.66666666666666,0.0,-5.0,3.0,0.0,-131.0,-9.0,-5.0,2.0,-114.0,4.0,-6.0,-6.0,-2.0,96.0,-120.0,3.0,-35.0,1.0,32.0,17.0,0.0,-0.18552036199095023,1.0,2023
New York Jets,nyj,Dallas Cowboys,dal,2,271.0,253.0,0.0,-5.0,0.0,1.0,-26.0,-3.0,1.0,1.0,-3.0,-3.0,16.0,-2.0,-3.0,50.0,78.0,3.0,24.0,1.0,-25.0,23.0,0.5,-0.07692307692307693,0.0,2023
Washington Commanders,was,Denver Broncos,den,2,166.0,192.66666666666666,1.0,-1.0,2.0,1.0,-10.0,-3.0,-8.0,-1.0,25.0,-2.0,-1.0,6.0,1.0,-2.0,-44.0,4.0,-12.0,3.0,-13.0,35.0,,-0.12121212121212122,1.0,2023
Miami Dolphins,mia,New England Patriots,nwe,2,221.0,207.0,1.0,6.0,0.0,0.0,160.0,-9.0,-7.0,0.0,150.0,-1.0,9.0,-2.0,1.0,-6.0,-113.0,-2.0,154.0,0.0,-12.0,-10.0,0.75,0.1111111111111111,1.0,2023
New Orleans Saints,nor,Carolina Panthers,car,2,131.0,92.66666666666667,1.0,-5.0,0.0,-1.0,155.0,-5.0,3.0,0.0,159.0,-2.0,-9.0,-5.0,0.0,-85.0,-361.0,2.0,70.0,-1.0,-21.0,4.0,,0.08035714285714285,1.0,2023
Cleveland Browns,cle,Pittsburgh Steelers,pit,2,102.0,142.0,1.0,6.0,2.0,-1.0,-54.0,-17.0,-15.0,0.0,-78.0,-1.0,-27.0,30.0,1.0,165.0,793.0,-2.0,111.0,0.0,-17.0,-24.0,,-0.047619047619047616,0.0,2023
New York Giants,nyg,San Francisco 49ers,sfo,3,406.44444444444446,262.0,-0.2222222222222222,1.7083333333333321,-1.5138888888888888,1.2222222222222223,52.541666666666686,7.944444444444443,5.75,0.3055555555555556,59.361111111111086,-0.7916666666666661,17.666666666666668,-4.527777777777779,-0.19444444444444442,-54.34722222222223,-187.80555555555566,1.6388888888888888,-1.805555555555543,0.8194444444444444,-0.1666666666666714,6.819444444444443,-0.23529411764705876,0.1173163418290854,0.0,2023
Tennessee Titans,oti,Cleveland Browns,cle,3,263.05,131.33333333333334,-0.48333333333333334,-2.2333333333333343,-2.1333333333333333,0.6499999999999999,41.150000000000006,-0.23333333333333428,1.4000000000000021,-0.55,60.19999999999999,1.25,15.066666666666668,-12.266666666666666,-0.09999999999999998,-84.81666666666666,-120.48333333333335,0.6999999999999997,-43.666666666666686,-0.4833333333333334,-0.5333333333333314,19.05,0.0,0.0174850344775328,0.0,2023
