away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result,year,Unnamed: 0_x,Unnamed: 0_y,quality,importance,total_rating,elo_dif,qb_dif
Los Angeles Chargers,sdg,Kansas City Chiefs,kan,2,0.0,-15.0,-4.0,0.0,-81.0,-5.0,-4.0,-2.0,-81.0,2.0,-2.0,4.0,-1.0,-52.0,-130.0,0.0,-133.0,-1.0,-4.0,0.0,-1.0,-0.1964285714285714,0.0,2022,,,90,92,91,-135.25130255737986,-54.58221353534134
Los Angeles Chargers,sdg,Kansas City Chiefs,kan,7,-0.03831417624521072,1.7174329501915722,0.32950191570881215,-0.8764367816091954,43.51628352490417,0.07471264367816133,3.8840996168582365,0.3515325670498086,57.386015325670485,0.9013409961685825,9.296934865900385,-0.5095785440613021,0.39750957854406127,-14.673371647509569,-136.27777777777783,1.5134099616858239,28.84291187739467,-1.0871647509578544,13.055555555555557,13.869731800766282,0.141999141999142,-0.06403508771929828,0.0,2023,595.5357142857143,414.51428571428573,90,92,91,-135.25130255737986,-54.58221353534134
New York Jets,nyj,Cleveland Browns,cle,2,-1.0,1.0,1.0,1.0,159.0,25.0,19.0,0.0,162.0,-3.0,0.0,-22.0,-1.0,-134.0,-356.0,2.0,25.0,2.0,10.0,3.0,0.25,-0.3015873015873015,1.0,2022,,,9,38,24,-167.89641773134008,-2.4770471517930446
Washington Commanders,was,Detroit Lions,det,2,1.0,3.0,0.0,1.0,100.0,4.0,6.0,2.0,98.0,-1.0,-16.0,0.0,-3.0,-96.0,307.0,0.0,4.0,2.0,-2.0,-2.0,,0.057142857142857,0.0,2022,,,21,63,42,81.07699285801004,-16.155109402823456
Indianapolis Colts,clt,Jacksonville Jaguars,jax,2,,9.0,4.0,0.0,80.0,8.0,8.0,0.0,77.0,-6.0,-8.0,20.0,0.0,54.0,790.0,0.0,134.0,1.0,-1.0,-3.0,0.0,0.15,0.0,2022,,,26,60,43,197.96730906627,20.254965509060355
Indianapolis Colts,clt,Jacksonville Jaguars,jax,6,-0.08475591494459422,-1.7984426474992503,-1.1533393231506441,-0.15154237795747227,-24.63671758011381,-2.877807726864333,-3.384546271338724,-0.06648697214734955,-26.679245283018872,2.066187481281821,3.5420784666067675,-1.7556154537286623,0.45582509733453125,7.274034141958666,-299.02964959568726,-0.23480083857442313,-17.362683438155102,-0.44055106319257265,10.77628032345013,-2.04252770290506,-0.05607387661843102,0.006274502205602217,0.0,2023,642.7169811320755,670.968253968254,26,60,43,197.96730906627,20.254965509060355
Tampa Bay Buccaneers,tam,New Orleans Saints,nor,2,0.0,0.0,-1.0,1.0,-39.0,-7.0,-5.0,-1.0,-57.0,-3.0,-23.0,14.0,-1.0,1.0,386.0,-2.0,-38.0,0.0,-74.0,-18.0,,0.0494505494505494,1.0,2022,,,82,93,88,90.14564459239,74.08111559858429
Tampa Bay Buccaneers,tam,New Orleans Saints,nor,4,0.40909090909090906,1.1118881118881117,0.06293706293706292,-0.40909090909090906,-3.185314685314694,-0.6258741258741267,-0.65034965034965,0.6223776223776223,-26.283216783216773,-2.1468531468531467,1.0734265734265733,6.94755244755245,0.2097902097902098,9.181818181818187,200.43706293706282,-3.2727272727272725,5.9965034965035215,-0.7412587412587412,-40.68181818181819,-23.097902097902097,0.0,0.05775193798449618,1.0,2023,297.09090909090907,422.8076923076923,82,93,88,90.14564459239,74.08111559858429
Carolina Panthers,car,New York Giants,nyg,2,-1.0,-4.0,3.0,0.0,51.0,6.0,-1.0,-1.0,47.0,0.0,6.0,-13.0,1.0,-184.0,-440.0,-1.0,-133.0,-1.0,51.0,-4.0,,0.1636363636363636,0.0,2022,,,13,53,33,3.1918085808499654,-33.533800286449306
New England Patriots,nwe,Pittsburgh Steelers,pit,2,-1.0,4.0,1.0,1.0,1.0,-8.0,0.0,0.0,19.0,-5.0,0.0,0.0,0.0,3.0,72.0,1.0,4.0,3.0,-44.0,18.0,,0.1777777777777777,1.0,2022,,,45,74,60,-13.002465488410053,-21.20997251920076
