away_name,away_abbr,home_name,home_abbr,winning_name,winning_abbr,week
Buffalo Bills,buf,Los Angeles Rams,ram,Buffalo Bills,buf,1
New Orleans Saints,nor,Atlanta Falcons,atl,New Orleans Saints,nor,1
Cleveland Browns,cle,Carolina Panthers,car,Cleveland Browns,cle,1
San Francisco 49ers,sfo,Chicago Bears,chi,Chicago Bears,chi,1
Pittsburgh Steelers,pit,Cincinnati Bengals,cin,Pittsburgh Steelers,pit,1
Philadelphia Eagles,phi,Detroit Lions,det,Philadelphia Eagles,phi,1
Indianapolis Colts,clt,Houston Texans,htx,,,1
New England Patriots,nwe,Miami Dolphins,mia,Miami Dolphins,mia,1
Baltimore Ravens,rav,New York Jets,nyj,Baltimore Ravens,rav,1
Jacksonville Jaguars,jax,Washington Commanders,was,Washington Commanders,was,1
Kansas City Chiefs,kan,Arizona Cardinals,crd,Kansas City Chiefs,kan,1
Green Bay Packers,gnb,Minnesota Vikings,min,Minnesota Vikings,min,1
New York Giants,nyg,Tennessee Titans,oti,New York Giants,nyg,1
Las Vegas Raiders,rai,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,1
Tampa Bay Buccaneers,tam,Dallas Cowboys,dal,Tampa Bay Buccaneers,tam,1
Denver Broncos,den,Seattle Seahawks,sea,Seattle Seahawks,sea,1
Los Angeles Chargers,sdg,Kansas City Chiefs,kan,Kansas City Chiefs,kan,2
New York Jets,nyj,Cleveland Browns,cle,New York Jets,nyj,2
Washington Commanders,was,Detroit Lions,det,Detroit Lions,det,2
Indianapolis Colts,clt,Jacksonville Jaguars,jax,Jacksonville Jaguars,jax,2
Tampa Bay Buccaneers,tam,New Orleans Saints,nor,Tampa Bay Buccaneers,tam,2
Carolina Panthers,car,New York Giants,nyg,New York Giants,nyg,2
New England Patriots,nwe,Pittsburgh Steelers,pit,New England Patriots,nwe,2
Miami Dolphins,mia,Baltimore Ravens,rav,Miami Dolphins,mia,2
Atlanta Falcons,atl,Los Angeles Rams,ram,Los Angeles Rams,ram,2
Seattle Seahawks,sea,San Francisco 49ers,sfo,San Francisco 49ers,sfo,2
Cincinnati Bengals,cin,Dallas Cowboys,dal,Dallas Cowboys,dal,2
Houston Texans,htx,Denver Broncos,den,Denver Broncos,den,2
Arizona Cardinals,crd,Las Vegas Raiders,rai,Arizona Cardinals,crd,2
Chicago Bears,chi,Green Bay Packers,gnb,Green Bay Packers,gnb,2
Tennessee Titans,oti,Buffalo Bills,buf,Buffalo Bills,buf,2
Minnesota Vikings,min,Philadelphia Eagles,phi,Philadelphia Eagles,phi,2
Pittsburgh Steelers,pit,Cleveland Browns,cle,Cleveland Browns,cle,3
New Orleans Saints,nor,Carolina Panthers,car,Carolina Panthers,car,3
Houston Texans,htx,Chicago Bears,chi,Chicago Bears,chi,3
Kansas City Chiefs,kan,Indianapolis Colts,clt,Indianapolis Colts,clt,3
Buffalo Bills,buf,Miami Dolphins,mia,Miami Dolphins,mia,3
Detroit Lions,det,Minnesota Vikings,min,Minnesota Vikings,min,3
Baltimore Ravens,rav,New England Patriots,nwe,Baltimore Ravens,rav,3
Cincinnati Bengals,cin,New York Jets,nyj,Cincinnati Bengals,cin,3
Las Vegas Raiders,rai,Tennessee Titans,oti,Tennessee Titans,oti,3
Philadelphia Eagles,phi,Washington Commanders,was,Philadelphia Eagles,phi,3
Jacksonville Jaguars,jax,Los Angeles Chargers,sdg,Jacksonville Jaguars,jax,3
Los Angeles Rams,ram,Arizona Cardinals,crd,Los Angeles Rams,ram,3
Atlanta Falcons,atl,Seattle Seahawks,sea,Atlanta Falcons,atl,3
Green Bay Packers,gnb,Tampa Bay Buccaneers,tam,Green Bay Packers,gnb,3
San Francisco 49ers,sfo,Denver Broncos,den,Denver Broncos,den,3
Dallas Cowboys,dal,New York Giants,nyg,Dallas Cowboys,dal,3
Miami Dolphins,mia,Cincinnati Bengals,cin,Cincinnati Bengals,cin,4
