team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
New England Patriots,nwe,21,1,0,14,0,0,0,0,1,222,28,19,3,240,7,18,25,0,81,13,4,1661,2,303,1,59,18,14
Pittsburgh Steelers,pit,18,0,1,18,3,1,1,0,1,182,36,22,1,190,1,21,28,1,82,14,3,1939,2,264,1,5,8,14
Tampa Bay Buccaneers,tam,29,1,0,16,2,1,2,0,0,142,29,14,2,144,4,25,37,1,148,16,6,1900,1,290,0,26,2,14
Atlanta Falcons,atl,25,0,1,23,1,1,4,0,1,338,40,26,1,347,2,29,26,2,96,13,5,1700,3,434,1,10,9,14
Detroit Lions,det,13,0,1,13,5,1,2,1,2,127,35,20,1,161,8,28,24,1,140,15,6,1601,4,267,3,59,34,14
Chicago Bears,chi,28,1,0,20,2,1,1,0,0,194,33,19,1,223,4,13,30,2,142,14,6,1999,3,336,0,35,29,14
Indianapolis Colts,clt,14,0,1,19,2,1,1,1,1,226,39,26,1,240,9,34,18,0,46,11,3,1688,3,272,2,66,14,14
Cincinnati Bengals,cin,34,1,0,19,1,1,0,0,1,274,25,19,2,274,5,14,32,2,111,11,3,1912,0,385,1,40,0,14
Jacksonville Jaguars,jax,27,0,1,20,1,0,1,1,3,235,50,28,3,257,7,31,20,1,58,17,7,1691,4,293,4,40,22,14
Cleveland Browns,cle,31,1,0,16,3,3,2,2,1,307,45,26,3,311,8,27,28,1,82,18,4,1909,1,389,3,75,4,14
Carolina Panthers,car,6,0,1,16,7,1,3,2,0,99,36,13,0,137,4,28,39,0,204,20,8,2090,4,303,2,27,38,14
New Orleans Saints,nor,28,1,0,14,0,0,0,0,1,110,26,18,2,119,3,6,25,1,97,10,3,1510,1,207,1,30,9,14
Houston Texans,htx,6,0,1,10,3,0,2,0,0,54,28,11,0,95,4,30,19,1,81,12,1,1375,5,135,0,35,41,14
New York Jets,nyj,30,1,0,20,1,1,1,1,0,268,36,27,2,301,8,6,26,1,79,15,6,2225,4,347,1,52,33,14
Los Angeles Rams,ram,31,0,1,24,0,0,2,0,0,282,41,23,3,294,5,37,30,0,128,16,6,2075,2,410,0,34,12,14
Baltimore Ravens,rav,37,1,0,23,0,0,1,0,1,310,43,24,3,316,7,31,26,0,139,12,4,1663,2,449,1,79,6,14
Minnesota Vikings,min,3,1,0,16,1,1,0,0,0,99,36,19,0,146,5,0,30,0,132,20,8,1931,5,231,0,36,47,14
Las Vegas Raiders,rai,0,0,1,8,2,2,3,2,1,146,32,21,0,171,4,3,17,0,56,14,3,1669,4,202,3,37,25,14
Seattle Seahawks,sea,16,0,1,17,1,0,0,0,2,254,31,22,2,269,5,28,20,0,70,11,2,1845,4,324,2,39,15,14
San Francisco 49ers,sfo,28,1,0,19,0,0,1,1,1,354,27,19,2,368,5,16,23,2,173,11,6,1755,3,527,2,30,14,14
Buffalo Bills,buf,20,1,0,21,1,1,1,0,1,209,42,23,1,233,4,17,28,1,118,15,6,2121,3,327,1,35,24,14
Kansas City Chiefs,kan,17,0,1,21,1,0,1,1,1,264,43,25,1,271,7,20,18,1,82,12,6,1479,1,346,2,45,7,14
Denver Broncos,den,24,1,0,19,0,0,0,0,1,216,33,21,2,224,4,7,31,1,106,17,8,2009,2,322,1,26,8,14
Los Angeles Chargers,sdg,7,0,1,17,6,1,2,1,1,207,42,22,0,275,2,24,19,1,76,12,0,1591,6,283,2,10,68,14
Philadelphia Eagles,phi,13,0,1,17,2,1,3,3,0,218,28,19,0,225,10,33,23,0,106,9,4,1404,1,324,3,95,7,14
Dallas Cowboys,dal,33,1,0,24,1,1,1,1,0,256,39,24,2,271,7,13,32,1,138,16,9,2196,3,394,1,60,15,14
Tennessee Titans,oti,28,1,0,22,0,0,3,2,1,320,38,23,1,327,9,27,29,2,83,13,5,1656,1,403,3,59,7,14
Miami Dolphins,mia,27,0,1,20,1,0,2,1,0,208,33,23,0,240,7,28,31,2,158,13,4,1944,5,366,1,61,32,14
Green Bay Packers,gnb,22,0,1,19,1,1,3,2,1,203,39,25,1,218,4,24,25,1,123,14,5,1866,2,326,3,39,15,14
New York Giants,nyg,24,1,0,18,1,0,2,2,0,158,21,17,1,158,5,22,34,2,209,10,3,1734,0,367,2,47,0,14
